Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
9.0,1.0,1.0,0.0,1.0,2.0,0.0,1
7.0,1.0,2.0,1.0,1.0,4.0,0.0,1
4.0,1.0,0.0,0.0,1.0,1.0,0.0,1
10.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,0.0,9.0,5.0,0.0,14.0,7.0,1
4.0,1.0,0.0,2.0,1.0,4.0,0.0,1
10.0,1.0,2.0,0.0,1.0,5.0,1.0,1
9.0,1.0,3.0,1.0,1.0,3.0,0.0,1
4.505816002819881,1.0,1.0,0.0,0.0,5.0,1.0,1
6.0,1.0,0.0,1.0,1.0,3.0,2.0,1
7.0,1.0,3.963354474982382,1.0,1.0,0.0,2.0,1
5.0,1.0,3.0,2.0,1.0,3.0,1.0,1
9.0,1.0,0.0,1.0,1.0,3.0,1.0,1
5.0,1.0,1.0,0.0,1.0,4.0,0.0,1
8.0,1.0,1.0,1.0,1.0,3.0,0.0,1
9.0,1.0,0.0,0.0,1.0,2.0,0.0,1
7.0,1.0,2.0,0.0,1.0,4.0,1.0,1
7.0,1.0,3.0,2.0,1.0,2.0,1.0,1
4.0,1.0,2.0,1.0,1.0,2.0,1.0,1
2.0,0.0,7.0,6.0,0.0,14.0,8.0,1
8.0,1.0,1.0,0.0,1.0,4.0,2.0,1
6.0,1.0,3.0,2.0,1.0,1.0,1.0,1
5.0,1.0,2.0,2.0,1.0,5.0,2.0,1
4.0,1.0,2.0,2.0,1.0,3.0,2.0,1
8.0,1.0,3.0,2.0,1.0,5.0,0.0,1
6.0,0.0,3.0,3.0,1.0,3.0,1.0,1
10.0,1.0,1.0,2.0,1.0,2.0,2.0,1
10.0,1.0,2.0,2.0,1.0,3.0,0.0,1
10.0,1.0,3.0,2.0,1.0,2.0,1.0,1
8.0,1.0,2.0,1.0,1.0,3.0,2.0,1
3.0,0.0,9.0,5.0,0.0,9.0,5.0,1
9.0,1.0,1.0,1.0,1.0,2.0,0.0,1
4.505816002819881,0.0,0.0,2.0,1.0,6.268862911795962,2.0,1
6.0,1.0,2.0,2.0,1.0,5.0,2.0,1
5.0,1.0,1.0,3.0,1.0,3.0,3.0,1
6.0,1.0,1.0,2.0,1.0,4.0,0.0,1
7.0,1.0,0.0,1.0,1.0,1.0,2.0,1
6.0,1.0,3.0,1.0,1.0,0.0,0.0,1
10.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,7.0,5.0,0.0,14.0,8.0,1
8.0,1.0,2.0,2.0,1.0,6.268862911795962,1.0,1
6.0,1.0,0.0,1.0,1.0,2.0,2.0,1
4.0,1.0,0.0,1.0,1.0,3.0,0.0,1
5.0,1.0,2.0,0.0,1.0,2.0,0.0,1
8.0,1.0,0.0,1.0,1.0,0.0,2.0,1
5.0,1.0,2.0,3.0,1.0,2.0,0.0,1
5.0,1.0,1.0,3.0,1.0,1.0,0.0,1
7.0,1.0,2.0,3.0,1.0,1.0,2.0,1
10.0,1.0,1.0,2.0,1.0,3.0,0.0,1
4.0,1.0,2.0,1.0,1.0,3.0,2.0,1
8.0,1.0,3.963354474982382,0.0,1.0,6.268862911795962,3.564726631393298,1
9.0,1.0,2.0,1.0,1.0,0.0,2.0,1
4.0,1.0,0.0,0.0,1.0,3.0,1.0,1
4.0,1.0,1.0,2.0,1.0,2.0,1.0,1
8.0,1.0,1.0,1.0,1.0,1.0,0.0,1
8.0,1.0,1.0,0.0,1.0,2.0,1.0,1
5.0,1.0,2.0,2.0,1.0,1.0,2.0,1
5.0,1.0,1.0,0.0,1.0,5.0,1.0,1
11.0,1.0,3.0,1.0,1.0,2.0,0.0,1
10.0,1.0,0.0,1.0,1.0,4.0,0.0,1
8.0,1.0,0.0,2.0,1.0,4.0,0.0,1
11.0,1.0,1.0,2.0,0.0,4.0,2.0,1
7.0,1.0,0.0,2.0,1.0,2.0,1.0,1
11.0,1.0,1.0,1.0,1.0,1.0,3.564726631393298,1
5.0,1.0,2.0,2.0,1.0,0.0,3.0,1
7.0,1.0,0.0,0.0,1.0,3.0,1.0,1
4.0,1.0,0.0,0.0,1.0,3.0,1.0,1
6.0,1.0,0.0,0.0,1.0,3.0,1.0,1
5.0,1.0,3.0,0.0,1.0,1.0,0.0,1
10.0,1.0,3.0,1.0,1.0,4.0,1.0,1
9.0,1.0,3.0,2.0,1.0,3.0,2.0,1
10.0,1.0,3.0,1.0,1.0,2.0,2.0,1
9.0,1.0,0.0,0.0,1.0,0.0,3.0,1
8.0,1.0,3.0,0.0,1.0,6.268862911795962,1.0,1
7.0,1.0,1.0,2.0,1.0,5.0,2.0,1
10.0,1.0,1.0,0.0,1.0,2.0,1.0,1
10.0,1.0,1.0,0.0,1.0,1.0,2.0,1
9.0,1.0,1.0,1.0,1.0,2.0,0.0,1
9.0,1.0,0.0,0.0,1.0,3.0,2.0,1
9.0,1.0,0.0,1.0,1.0,2.0,1.0,1
11.0,1.0,0.0,2.0,1.0,2.0,0.0,1
3.0,0.0,4.0,4.0,0.0,14.0,7.0,1
9.0,1.0,0.0,2.0,1.0,1.0,0.0,1
11.0,1.0,2.0,2.0,1.0,2.0,2.0,1
10.0,1.0,2.0,0.0,1.0,6.268862911795962,2.0,1
10.0,1.0,1.0,0.0,1.0,1.0,0.0,1
9.0,1.0,2.0,1.0,1.0,3.0,2.0,1
6.0,1.0,3.0,0.0,1.0,5.0,0.0,1
11.0,1.0,2.0,0.0,1.0,5.0,0.0,1
5.0,1.0,2.0,0.0,1.0,4.0,0.0,1
7.0,1.0,3.0,2.0,1.0,2.0,1.0,1
8.0,1.0,1.0,1.0,1.0,5.0,2.0,1
10.0,1.0,3.0,2.0,1.0,2.0,0.0,1
5.0,1.0,3.0,0.0,1.0,4.0,0.0,1
4.0,1.0,0.0,1.0,1.0,5.0,3.564726631393298,1
0.0,0.0,9.0,6.0,0.0,9.0,9.0,1
11.0,1.0,2.0,2.0,1.0,5.0,0.0,1
5.0,1.0,0.0,0.0,1.0,2.0,1.0,1
7.0,1.0,3.0,2.0,1.0,0.0,0.0,1
6.0,1.0,2.0,1.0,1.0,5.0,2.0,1
11.0,1.0,0.0,0.0,1.0,4.0,1.0,1
7.0,1.0,1.0,1.0,1.0,2.0,0.0,1
9.0,1.0,3.0,1.0,1.0,2.0,0.0,1
11.0,1.0,2.0,0.0,1.0,6.268862911795962,0.0,1
11.0,1.0,1.0,1.0,1.0,0.0,2.0,1
4.0,1.0,3.0,2.0,1.0,3.0,2.0,1
6.0,1.0,2.0,2.0,1.0,4.0,0.0,1
9.0,1.0,1.0,2.0,1.0,2.0,1.0,1
5.0,1.0,1.0,0.0,1.0,5.0,1.0,1
8.0,1.0,0.0,0.0,1.0,3.0,0.0,1
6.0,1.0,1.0,0.0,1.0,4.0,1.0,1
4.505816002819881,1.0,3.0,2.0,1.0,2.0,2.0,1
11.0,1.0,0.0,1.0,1.0,2.0,0.0,1
7.0,1.0,1.0,0.0,1.0,5.0,0.0,1
10.0,1.0,3.0,3.0,1.0,4.0,0.0,1
5.0,0.0,3.0,0.0,1.0,4.0,0.0,1
7.0,1.0,1.0,0.0,1.0,5.0,0.0,1
7.0,1.0,0.0,3.0,1.0,2.0,1.0,1
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1
5.0,1.0,2.0,3.0,1.0,4.0,3.564726631393298,1
8.0,1.0,1.0,1.0,1.0,2.0,3.0,1
9.0,1.0,1.0,0.0,1.0,5.0,2.0,1
11.0,1.0,3.0,2.0,1.0,5.0,2.0,1
10.0,1.0,0.0,1.0,1.0,5.0,3.0,1
5.0,1.0,3.0,0.0,1.0,1.0,1.0,1
4.0,1.0,2.0,0.0,1.0,4.0,1.0,1
10.0,1.0,3.0,2.0,0.0,3.0,2.0,1
7.0,1.0,1.0,0.0,1.0,2.0,0.0,1
7.0,1.0,1.0,2.0,1.0,1.0,1.0,1
7.0,1.0,1.0,0.0,1.0,2.0,2.0,1
7.0,1.0,2.0,1.0,1.0,2.0,2.0,1
10.0,1.0,2.0,2.0,1.0,2.0,1.0,1
8.0,1.0,3.0,3.0,0.0,2.0,0.0,1
7.0,1.0,1.0,0.0,1.0,1.0,0.0,1
4.0,1.0,1.0,2.0,1.0,2.0,2.0,1
7.0,1.0,3.0,2.0,1.0,3.0,2.0,1
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1
5.0,1.0,0.0,2.0,1.0,3.0,1.0,1
7.0,1.0,2.0,0.0,1.0,5.0,0.0,1
11.0,1.0,2.0,1.0,1.0,1.0,1.0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,1
8.0,1.0,3.0,0.0,1.0,2.0,1.0,1
9.0,1.0,2.0,3.0,1.0,4.0,2.0,1
7.0,1.0,1.0,0.0,1.0,4.0,0.0,1
8.0,1.0,2.0,2.0,1.0,1.0,1.0,1
11.0,1.0,3.0,1.0,1.0,4.0,0.0,1
9.0,1.0,2.0,0.0,1.0,5.0,0.0,1
4.0,1.0,3.0,2.0,1.0,3.0,2.0,1
7.0,1.0,3.0,0.0,1.0,4.0,1.0,1
7.0,1.0,0.0,1.0,1.0,1.0,0.0,1
2.0,0.0,7.0,4.0,0.0,9.0,5.0,1
11.0,1.0,1.0,0.0,0.0,2.0,0.0,1
10.0,1.0,3.0,2.0,1.0,4.0,2.0,1
10.0,1.0,1.0,2.0,1.0,2.0,0.0,1
9.0,1.0,0.0,2.0,1.0,2.0,2.0,1
7.0,1.0,1.0,2.0,1.0,4.0,2.0,1
5.0,1.0,1.0,0.0,1.0,3.0,2.0,1
7.0,1.0,2.0,1.0,1.0,1.0,2.0,1
9.0,0.0,3.0,1.0,1.0,5.0,1.0,1
9.0,1.0,0.0,0.0,1.0,3.0,0.0,1
7.0,1.0,3.963354474982382,2.0,1.0,3.0,1.0,1
7.0,1.0,2.0,2.0,1.0,1.0,1.0,1
5.0,1.0,0.0,0.0,1.0,5.0,2.0,1
0.0,0.0,9.0,5.0,0.0,14.0,9.0,1
5.0,1.0,3.0,1.0,1.0,5.0,0.0,1
9.0,1.0,0.0,1.0,1.0,3.0,1.0,1
9.0,1.0,0.0,2.0,1.0,2.0,1.0,1
11.0,1.0,2.0,0.0,1.0,4.0,1.0,1
4.505816002819881,1.0,0.0,1.0,1.0,3.0,1.0,1
11.0,1.0,3.0,0.0,1.0,2.0,2.0,1
9.0,1.0,2.0,2.0,1.0,3.0,0.0,1
4.505816002819881,1.0,3.0,0.0,1.0,2.0,1.0,1
6.0,1.0,1.0,0.0,1.0,3.0,1.0,1
9.0,1.0,2.0,0.0,1.0,2.0,0.0,1
8.0,1.0,0.0,1.0,1.0,0.0,2.0,1
6.0,1.0,3.0,2.0,1.0,2.0,2.0,1
5.0,1.0,1.0,1.0,1.0,5.0,2.0,1
9.0,1.0,2.0,2.0,1.0,3.0,0.0,1
4.0,1.0,2.0,1.0,1.0,2.0,2.0,1
7.0,1.0,0.0,1.0,1.0,2.0,0.0,1
8.0,1.0,2.0,2.0,1.0,5.0,1.0,1
7.0,1.0,2.0,2.0,1.0,5.0,2.0,1
5.0,1.0,3.0,2.0,1.0,3.0,2.0,1
7.0,1.0,3.0,2.0,1.0,1.0,2.0,1
4.505816002819881,1.0,1.0,0.0,1.0,1.0,2.0,1
9.0,1.0,0.0,0.0,1.0,1.0,1.0,1
10.0,1.0,0.0,0.0,1.0,2.0,0.0,1
10.0,1.0,2.0,2.0,1.0,5.0,1.0,1
7.0,1.0,3.0,1.0,1.0,1.0,0.0,1
7.0,1.0,0.0,0.0,1.0,5.0,1.0,1
6.0,1.0,1.0,3.0,1.0,3.0,3.0,1
9.0,1.0,3.0,0.0,1.0,5.0,1.0,1
9.0,1.0,2.0,3.0,1.0,0.0,1.0,1
11.0,1.0,2.0,2.0,1.0,2.0,0.0,1
4.505816002819881,1.0,3.0,1.0,1.0,4.0,2.0,1
0.0,0.0,7.0,7.0,0.0,13.0,6.0,1
8.0,1.0,0.0,0.0,1.0,5.0,2.0,1
8.0,1.0,0.0,1.0,1.0,4.0,0.0,1
5.0,1.0,3.0,1.0,1.0,5.0,2.0,1
6.0,1.0,2.0,0.0,1.0,1.0,2.0,1
1.0,0.0,6.0,7.0,0.0,8.0,6.0,1
6.0,1.0,0.0,2.0,1.0,1.0,2.0,1
6.0,1.0,3.0,2.0,1.0,1.0,3.564726631393298,1
4.0,1.0,1.0,2.0,1.0,1.0,2.0,1
8.0,1.0,0.0,2.0,1.0,1.0,1.0,1
10.0,1.0,3.0,1.0,1.0,2.0,1.0,1
7.0,1.0,1.0,2.0,1.0,4.0,2.0,1
11.0,1.0,2.0,2.0,1.0,5.0,1.0,1
10.0,1.0,1.0,1.0,1.0,2.0,2.0,1
7.0,1.0,1.0,0.0,1.0,2.0,2.0,1
8.0,1.0,3.0,2.0,1.0,3.0,2.0,1
10.0,1.0,2.0,0.0,1.0,4.0,0.0,1
9.0,1.0,3.0,0.0,1.0,5.0,1.0,1
5.0,1.0,0.0,2.0,1.0,5.0,1.0,1
4.505816002819881,1.0,3.0,0.0,1.0,5.0,0.0,1
11.0,1.0,2.0,2.0,1.0,1.0,0.0,1
8.0,1.0,0.0,0.0,1.0,4.0,0.0,1
5.0,1.0,2.0,0.0,1.0,0.0,1.0,1
4.505816002819881,1.0,2.0,2.0,1.0,1.0,2.0,1
6.0,1.0,2.0,1.0,1.0,2.0,1.0,1
11.0,1.0,0.0,2.0,1.0,2.0,1.0,1
5.0,0.0,3.0,2.0,1.0,3.0,2.0,1
8.0,1.0,2.0,0.0,1.0,3.0,2.0,1
5.0,1.0,2.0,0.0,1.0,4.0,2.0,1
2.0,0.0,8.0,6.0,0.0,14.0,3.0,1
9.0,1.0,1.0,0.0,1.0,0.0,0.0,1
9.0,1.0,2.0,0.0,1.0,4.0,1.0,1
5.0,1.0,1.0,1.0,1.0,5.0,0.0,1
5.0,1.0,3.0,3.0,1.0,1.0,0.0,1
10.0,1.0,0.0,1.0,1.0,1.0,2.0,1
9.0,1.0,2.0,1.0,1.0,4.0,1.0,1
9.0,1.0,1.0,2.0,1.0,0.0,2.0,1
8.0,1.0,0.0,0.0,1.0,1.0,2.0,1
5.0,1.0,0.0,1.0,1.0,4.0,1.0,1
10.0,1.0,2.0,2.0,1.0,2.0,1.0,1
5.0,1.0,0.0,1.0,1.0,4.0,1.0,1
8.0,1.0,0.0,0.0,1.0,1.0,1.0,1
5.0,1.0,1.0,0.0,1.0,2.0,2.0,1
4.505816002819881,1.0,3.0,2.0,1.0,5.0,2.0,1
8.0,1.0,2.0,1.0,1.0,3.0,2.0,1
6.0,1.0,2.0,0.0,1.0,6.268862911795962,2.0,1
6.0,1.0,3.0,1.0,1.0,4.0,1.0,1
6.0,1.0,3.0,2.0,1.0,0.0,2.0,1
4.0,1.0,0.0,0.0,1.0,1.0,2.0,1
6.0,1.0,1.0,2.0,1.0,5.0,0.0,1
0.0,0.0,8.0,6.0,0.0,11.0,5.0,1
5.0,1.0,1.0,0.0,1.0,1.0,0.0,1
7.0,1.0,1.0,1.0,1.0,2.0,2.0,1
6.0,1.0,1.0,0.0,1.0,4.0,0.0,1
9.0,1.0,0.0,1.0,1.0,2.0,1.0,1
4.505816002819881,0.0,1.0,2.0,1.0,4.0,2.0,1
8.0,1.0,0.0,0.0,1.0,5.0,0.0,1
9.0,1.0,3.0,2.0,1.0,4.0,2.0,1
7.0,1.0,2.0,0.0,1.0,3.0,1.0,1
7.0,1.0,2.0,0.0,1.0,1.0,1.0,1
8.0,1.0,2.0,0.0,1.0,1.0,1.0,1
6.0,1.0,3.0,1.0,1.0,0.0,1.0,1
11.0,1.0,2.0,1.0,1.0,3.0,1.0,1
1.0,0.0,9.0,5.0,0.0,8.0,7.0,1
6.0,1.0,1.0,1.0,1.0,0.0,0.0,1
2.0,0.0,8.0,4.0,0.0,10.0,4.0,1
7.0,1.0,1.0,0.0,1.0,0.0,2.0,1
5.0,1.0,0.0,2.0,1.0,1.0,1.0,1
9.0,1.0,0.0,0.0,1.0,4.0,2.0,1
4.0,1.0,0.0,2.0,1.0,1.0,0.0,1
5.0,1.0,0.0,0.0,1.0,1.0,2.0,1
1.0,0.0,8.0,5.0,0.0,11.0,8.0,1
10.0,1.0,0.0,0.0,1.0,2.0,1.0,1
8.0,1.0,3.0,1.0,1.0,2.0,2.0,1
9.0,1.0,3.0,1.0,1.0,1.0,0.0,1
4.505816002819881,1.0,3.0,0.0,1.0,5.0,2.0,1
8.0,1.0,0.0,0.0,1.0,2.0,0.0,1
5.0,1.0,1.0,2.0,1.0,3.0,2.0,1
9.0,1.0,0.0,2.0,1.0,1.0,0.0,1
8.0,1.0,3.0,0.0,1.0,3.0,0.0,1
8.0,1.0,1.0,0.0,1.0,1.0,1.0,1
4.0,1.0,2.0,0.0,1.0,3.0,1.0,1
9.0,1.0,0.0,1.0,1.0,3.0,1.0,1
9.0,1.0,3.0,2.0,0.0,2.0,0.0,1
10.0,1.0,1.0,0.0,1.0,5.0,1.0,1
7.0,1.0,3.963354474982382,0.0,1.0,1.0,0.0,1
9.0,1.0,0.0,0.0,1.0,5.0,0.0,1
5.0,1.0,1.0,0.0,1.0,5.0,1.0,1
11.0,1.0,2.0,2.0,1.0,3.0,0.0,1
5.0,1.0,3.0,1.0,1.0,3.0,1.0,1
6.0,1.0,1.0,1.0,1.0,2.0,0.0,1
4.0,1.0,3.0,1.0,1.0,3.0,1.0,1
11.0,1.0,2.0,1.0,1.0,1.0,2.0,1
4.0,1.0,3.0,1.0,1.0,3.0,1.0,1
7.0,1.0,3.0,2.0,1.0,1.0,0.0,1
4.0,1.0,1.0,0.0,1.0,3.0,1.0,1
6.0,1.0,1.0,1.0,1.0,4.0,0.0,1
7.0,1.0,2.0,1.0,1.0,6.268862911795962,1.0,1
7.0,1.0,2.0,0.0,1.0,5.0,1.0,1
7.0,1.0,3.0,3.0,1.0,2.0,0.0,1
9.0,1.0,2.0,1.0,1.0,2.0,0.0,1
10.0,1.0,0.0,1.0,1.0,2.0,1.0,1
10.0,1.0,2.0,1.0,1.0,1.0,2.0,1
6.0,1.0,3.0,1.0,1.0,2.0,0.0,1
11.0,1.0,0.0,1.0,1.0,0.0,1.0,1
8.0,1.0,0.0,2.0,1.0,3.0,2.0,1
6.0,1.0,2.0,0.0,1.0,3.0,2.0,1
10.0,1.0,2.0,2.0,1.0,2.0,0.0,1
4.505816002819881,1.0,3.0,1.0,1.0,4.0,0.0,1
4.0,1.0,2.0,1.0,1.0,4.0,0.0,1
5.0,1.0,0.0,1.0,1.0,2.0,1.0,1
4.0,1.0,2.0,0.0,1.0,3.0,0.0,1
6.0,1.0,3.0,2.0,1.0,3.0,0.0,1
2.0,0.0,7.0,4.0,0.0,12.0,7.0,1
6.0,1.0,2.0,2.0,1.0,2.0,1.0,1
10.0,0.0,0.0,2.0,1.0,3.0,1.0,1
5.0,1.0,3.0,2.0,1.0,1.0,1.0,1
7.0,1.0,3.963354474982382,0.0,1.0,1.0,0.0,1
6.0,1.0,1.0,1.0,1.0,1.0,0.0,1
8.0,1.0,1.0,2.0,1.0,3.0,3.0,1
10.0,1.0,2.0,0.0,1.0,2.0,1.0,1
7.0,1.0,1.0,0.0,1.0,6.268862911795962,1.0,1
5.0,1.0,0.0,0.0,1.0,0.0,2.0,1
7.0,1.0,0.0,0.0,0.0,3.0,1.0,1
9.0,1.0,2.0,0.0,1.0,2.0,1.0,1
10.0,1.0,0.0,1.0,1.0,4.0,2.0,1
10.0,1.0,0.0,1.0,1.0,5.0,1.0,1
6.0,1.0,3.0,1.0,1.0,5.0,1.0,1
6.0,1.0,2.0,1.0,1.0,1.0,1.0,1
9.0,1.0,1.0,2.0,1.0,0.0,0.0,1
6.0,1.0,0.0,0.0,1.0,4.0,1.0,1
7.0,1.0,1.0,1.0,1.0,5.0,2.0,1
11.0,1.0,0.0,2.0,1.0,2.0,2.0,1
9.0,1.0,1.0,2.0,0.0,5.0,1.0,1
11.0,1.0,2.0,0.0,1.0,2.0,0.0,1
8.0,1.0,1.0,2.0,1.0,1.0,0.0,1
7.0,1.0,0.0,2.0,1.0,3.0,0.0,1
10.0,1.0,3.0,1.0,1.0,4.0,3.564726631393298,1
9.0,1.0,3.0,0.0,1.0,5.0,2.0,1
6.0,1.0,3.0,3.0,1.0,4.0,3.0,1
4.0,1.0,3.963354474982382,0.0,1.0,1.0,2.0,1
4.0,1.0,2.0,0.0,1.0,2.0,2.0,1
6.0,1.0,1.0,0.0,0.0,5.0,2.0,1
10.0,1.0,2.0,1.0,1.0,3.0,1.0,1
9.0,1.0,0.0,2.0,1.0,1.0,1.0,1
6.0,1.0,3.0,1.0,1.0,5.0,1.0,1
4.0,1.0,3.0,2.0,1.0,3.0,2.0,1
6.0,1.0,2.0,2.0,0.0,3.0,1.0,1
9.0,1.0,2.0,1.0,1.0,4.0,1.0,1
11.0,1.0,1.0,3.0,1.0,2.0,0.0,1
6.0,1.0,0.0,0.0,1.0,3.0,1.0,1
5.0,1.0,0.0,2.0,1.0,0.0,1.0,1
10.0,1.0,3.0,0.0,1.0,0.0,0.0,1
4.505816002819881,1.0,3.0,2.0,1.0,2.0,1.0,1
10.0,1.0,3.0,2.0,1.0,1.0,2.0,1
4.0,1.0,3.0,3.0,1.0,3.0,2.0,1
1.0,0.0,6.0,6.0,0.0,12.0,8.0,1
8.0,1.0,1.0,2.0,1.0,1.0,1.0,1
6.0,1.0,1.0,0.0,1.0,2.0,0.0,1
5.0,1.0,3.0,3.0,1.0,0.0,1.0,1
7.0,1.0,3.0,0.0,1.0,4.0,2.0,1
4.0,1.0,1.0,0.0,1.0,2.0,0.0,1
4.0,1.0,0.0,1.0,0.0,6.268862911795962,0.0,1
5.0,1.0,3.0,1.0,1.0,3.0,1.0,1
6.0,1.0,3.0,0.0,1.0,4.0,0.0,1
10.0,1.0,2.0,1.0,1.0,5.0,3.0,1
7.0,1.0,1.0,1.0,1.0,3.0,0.0,1
5.0,1.0,2.0,2.0,1.0,3.0,2.0,1
9.0,1.0,0.0,0.0,1.0,2.0,0.0,1
9.0,1.0,3.0,0.0,1.0,1.0,0.0,1
4.505816002819881,1.0,3.0,2.0,1.0,3.0,0.0,1
8.0,1.0,2.0,0.0,1.0,5.0,1.0,1
10.0,1.0,0.0,0.0,1.0,3.0,0.0,1
6.0,1.0,0.0,2.0,1.0,1.0,0.0,1
1.0,0.0,6.0,5.0,0.0,12.0,6.0,1
6.0,1.0,3.0,2.0,1.0,1.0,1.0,1
7.0,1.0,3.963354474982382,0.0,1.0,1.0,2.0,1
10.0,1.0,0.0,2.0,1.0,2.0,2.0,1
2.0,0.0,8.0,7.0,0.0,14.0,7.0,1
4.0,1.0,2.0,1.0,0.0,2.0,2.0,1
9.0,0.0,0.0,2.0,1.0,3.0,0.0,1
5.0,1.0,3.0,0.0,1.0,3.0,1.0,1
